Y,R,GPNAME,P1,P2,P3,RATING
2015,1,Australian GP,Hamilton,Rosberg,Vettel,4.75
2015,10,Hungarian GP,Vettel,Kvyat,Ricciardo,9.11
2015,11,Belgian GP,Hamilton,Rosberg,Grosjean,6.39
2015,12,Italian GP,Hamilton,Vettel,Massa,5.64
2015,13,Singapore GP,Vettel,Ricciardo,Raikkonen,6.55
2015,14,Japanese GP,Hamilton,Rosberg,Vettel,5.21
2015,15,Russian GP,Hamilton,Vettel,Perez,6.96
2015,16,United States GP,Hamilton,Rosberg,Vettel,9.1
2015,17,Mexican GP,Rosberg,Hamilton,Bottas,5.44
2015,18,Brazilian GP,Rosberg,Hamilton,Vettel,4.57
2015,19,Abu Dhabi GP,Rosberg,Hamilton,Raikkonen,5.25
2015,2,Malaysian GP,Vettel,Hamilton,Rosberg,8.37
2015,3,Chinese GP,Hamilton,Rosberg,Vettel,5.72
2015,4,Bahrain GP,Hamilton,Raikkonen,Rosberg,7.366
2015,5,Spanish GP,Rosberg,Hamilton,Vettel,5.15
2015,6,Monaco GP,Rosberg,Vettel,Hamilton,5.63
2015,7,Canadian GP,Hamilton,Rosberg,Bottas,5.54
2015,8,Austrian GP,Rosberg,Hamilton,Massa,5.6
2015,9,British GP,Hamilton,Rosberg,Vettel,7.95
2016,1,Australian GP,Rosberg,Hamilton,Vettel,7.757
2016,10,British GP,Hamilton,Rosberg,Verstappen,6.47
2016,11,Hungarian GP,Hamilton,Rosberg,Ricciardo,5.11
2016,12,German GP,Hamilton,Ricciardo,Verstappen,5.9
2016,13,Belgian GP,Rosberg,Ricciardo,Hamilton,7.21
2016,14,Italian GP,Rosberg,Hamilton,Vettel,4.96
2016,15,Singapore GP,Rosberg,Ricciardo,Hamilton,7.17
2016,16,Malaysian GP,Ricciardo,Verstappen,Rosberg,8.05
2016,18,United States GP,Hamilton,Rosberg,Ricciardo,6.09
2016,19,Mexican GP,Hamilton,Rosberg,Verstappen,5.91
2016,2,Bahrain GP,Rosberg,Raikkonen,Hamilton,7.382
2016,20,Brazilian GP,Hamilton,Rosberg,Verstappen,8.2
2016,21,Abu Dhabi GP,Hamilton,Rosberg,Vettel,7.6
2016,3,Chinese GP,Rosberg,Vettel,Kvyat,7.853
2016,4,Russian GP,Rosberg,Hamilton,Raikkonen,5.32
2016,5,Spanish GP,Verstappen,Raikkonen,Vettel,8.72
2016,6,Monaco GP,Hamilton,Ricciardo,Perez,7.81
2016,7,Canadian GP,Hamilton,Vettel,Bottas,6.61
2016,8,European GP,Rosberg,Vettel,Perez,4.71
2016,9,Austrian GP,Hamilton,Verstappen,Raikkonen,8.02
2017,1,Australian GP,Vettel,Hamilton,Bottas,6.47
2017,10,British GP,Hamilton,Bottas,Raikkonen,6.51
2017,11,Hungarian GP,Vettel,Raikkonen,Bottas,5.9
2017,12,Belgian GP,Hamilton,Vettel,Ricciardo,7.25
2017,13,Italian GP,Hamilton,Bottas,Vettel,5.93
2017,14,Singapore GP,Hamilton,Ricciardo,Bottas,6.4
2017,15,Malaysian GP,Verstappen,Hamilton,Ricciardo,7.4
2017,16,Japanese GP,Hamilton,Verstappen,Ricciardo,6.1
2017,17,United States GP,Hamilton,Vettel,Raikkonen,7.7
2017,18,Mexican GP,Verstappen,Bottas,Raikkonen,6.8
2017,19,Brazilian GP,Vettel,Bottas,Raikkonen,6.74
2017,2,Chinese GP,Hamilton,Vettel,Verstappen,7.5
2017,20,Abu Dhabi GP,Bottas,Hamilton,Vettel,3.76
2017,3,Bahrain GP,Vettel,Hamilton,Bottas,7.9
2017,4,Russian GP,Bottas,Vettel,Raikkonen,4.9
2017,5,Spanish GP,Hamilton,Vettel,Ricciardo,7.85
2017,6,Monaco GP,Vettel,Raikkonen,Ricciardo,4.93
2017,7,Canadian GP,Hamilton,Bottas,Ricciardo,7.63
2017,8,Azerbaijan GP,Ricciardo,Bottas,Stroll,8.8
2017,9,Austrian GP,Bottas,Vettel,Ricciardo,5.85
2018,1,Australian GP,Vettel,Hamilton,Raikkonen,6.1
2018,10,British GP,Vettel,Hamilton,Raikkonen,8.69
2018,11,German GP,Hamilton,Bottas,Raikkonen,8.12
2018,12,Hungarian GP,Hamilton,Vettel,Raikkonen,6.11
2018,13,Belgian GP,Vettel,Hamilton,Verstappen,5.29
2018,2,Bahrain GP,Vettel,Bottas,Hamilton,8.36
2018,3,Chinese GP,Ricciardo,Bottas,Raikkonen,8.59
2018,4,Azerbaijan GP,Hamilton,Raikkonen,Perez,8.57
2018,5,Spanish GP,Hamilton,Bottas,Verstappen,4.85
2018,6,Monaco GP,Ricciardo,Vettel,Hamilton,5.23
2018,7,Canadian GP,Vettel,Bottas,Verstappen,4.24
2018,8,French GP,Hamilton,Verstappen,Raikkonen,6.47
2018,9,Austrian GP,Verstappen,Raikkonen,Vettel,8.01
